A0A0F7KYQ8	A0A0F7KYQ8
A0A4Y1WBN6	A0A4Y1WBN6
A0A4Y1WBN6	Q8DPL9
A5A616	A5A616
G3XCW3	G3XCW3
G3XCY4	G3XCY4
G3XD01	G3XD01
G3XD23	G3XD23
G3XDA8	G3XDA8
I6WXK4	I6WXK4
I6X235	I6X235
I6X8D2	I6X8D2
I6XD65	I6XD65
I6XD65	P21369
I6XD69	I6XD69
I6XU97	I6XU97
I6Y0R5	I6Y0R5
I6Y2J4	I6Y2J4
I6Y4D2	I6Y4D2
I6Y778	I6Y778
I6Y9J2	I6Y9J2
I6Y9J2	P9WKV3
I6YBQ3	I6YBQ3
I6YFP0	I6YFP0
I6YG32	I6YG32
I6YHB0	I6YHB0
L0T905	L0T905
L0T911	L0T911
L0TC47	L0TC47
O05307	O05307
O05442	O05442
O05581	O05581
O06218	O06218
O06319	O06319
O06350	O06350
O06543	O06543
O06582	O06582
O06769	O06769
O06769	Q9I596
O07427	O07427
O07732	O07732
O07783	O07783
O07783	P96917
O25001	O25001
O25001	O25728
O25080	O25080
O25149	O25149
O25338	O25338
O25503	O25503
O25533	O25533
O25560	O25560
O25830	O25830
O25916	O25916
O25916	P0ACB0
O25916	O83097
O25916	P0A1Q4
O25916	P45256
O26057	O26057
O26061	O26061
O30916	O30916
O31041	O31041
O31042	O31042
O32583	O32583
O33125	O33125
O33125	P9WMK7
O33194	O33194
O33283	O33283
O33289	O33289
O33336	O33336
O33348	O33348
O33348	O50461
O33363	O33363
O33407	O33407
O33599	O33599
O50406	O50406
O51076	O51076
O52582	O52582
O53166	O53166
O53166	P25516
O53166	Q8ZP52
O53166	Q59938
O53166	Q9I3F5
O53168	O53168
O53177	O53177
O53181	O53181
O53289	O53289
O53353	O53353
O53361	O53361
O53423	O53423
O53424	O53424
O53443	O53443
O53512	O53512
O53551	O53551
O53551	B2HHZ8
O53581	O53581
O53585	O53585
O53605	O53605
O53638	O53638
O53638	O06825
O53664	O53664
O53873	O53873
O53896	O53896
O65934	O65934
O69652	O69652
O69711	O69711
O69729	O69729
O69729	P96368
O84947	O84947
P00282	P00282
P00282	P0A320
P00393	P00393
P00393	P44856
P00452	P00452
P00452	P37426
P00452	P43754
P00509	P00509
P00509	P04693
P00509	P43336
P00509	P44425
P00509	P58661
P00509	P72173
P00509	P74861
P00550	P00550
P00550	Q9KKQ7
P00562	P00562
P00634	P00634
P00634	P35483
P00811	P00811
P00811	P24735
P00905	P00905
P00905	P00904
P01555	P01555
P02920	P02920
P02921	P02921
P02921	P30878
P02925	P02925
P02925	P39265
P02925	P0A2C5
P02925	P44737
P02929	P02929
P02929	P25945
P02976	P02976
P03004	P03004
P03004	A1JT80
P03004	Q7MXZ1
P03004	Q7VSE0
P03004	Q83FD8
P03004	Q8YED5
P03004	Q9I7C5
P03004	Q9JXS7
P04737	P04737
P04739	P04739
P04968	P04968
P04968	P20506
P04968	P46493
P05431	P05431
P05704	P05704
P05704	Q02755
P05804	P05804
P05824	P05824
P05824	O83456
P05824	P0C6Q4
P05824	P44496
P05824	P9WHI7
P05824	Q49896
P05989	P05989
P05989	P05793
P05989	P44822
P05989	A1JI57
P05989	Q9KVI4
P06968	P06968
P06968	P9WNS5
P06968	A0PT52
P06968	B2HM03
P06968	O25536
P06968	P61910
P06968	P64004
P06968	Q45920
P06968	Q49992
P06968	Q9HTN3
P06968	A1JHX0
P06968	A5CD09
P06968	O83855
P06968	O84294
P06968	P43792
P06968	P64008
P06968	Q5NHX4
P06968	Q7MVT6
P06968	Q7VVR1
P06968	Q895R1
P06968	Q8F729
P06968	Q9JZU7
P06968	Q9Z9C2
P06972	P06972
P06972	O87656
P06972	Q81L64
P06993	P06993
P06993	A1JSF2
P06993	Q8ZLI3
P06993	Q9KNF3
P07001	P07001
P07001	P43842
P07003	P07003
P07024	P07024
P07024	P06196
P07024	Q56878
P07024	Q9KQ30
P07658	P07658
P07822	P07822
P08191	P08191
P08191	P77588
P08192	P08192
P08192	P43775
P08201	P08201
P08202	P08202
P08202	A1JMB6
P08202	P06189
P08337	P08337
P08337	P77788
P08337	P44932
P08839	P08839
P08839	O51508
P08839	P0A249
P08839	P43922
P08839	P45595
P08839	P75168
P08956	P08956
P09030	P09030
P09030	P0A1A9
P09030	P44318
P09099	P09099
P09099	P44401
P09152	P09152
P09152	P19319
P09152	P9WJQ3
P09545	P09545
P0A1C7	P0A1C7
P0A1C7	H9L478
P0A1C7	P41791
P0A1C7	P0ABF4
P0A2M9	P0A2M9
P0A2R8	P0A2R8
P0A2R8	P0ABI4
P0A2R8	P44998
P0A4Q0	P0A4Q0
P0A4Q0	P59247
P0A6C1	P0A6C1
P0A6C1	A1JLX8
P0A6C1	O84630
P0A6C1	Q8ZNK6
P0A6C1	Q9KPK7
P0A6C1	Q9Z7H3
P0A6Q3	P0A6Q3
P0A6Q3	O33877
P0A6Q3	A1JMS5
P0A6Q3	P45159
P0A6Q3	P64103
P0A6Q3	P64105
P0A6Q3	Q9KS00
P0A6R3	P0A6R3
P0A6R3	A1JRL7
P0A6R3	P0A6R6
P0A6R3	P44966
P0A6R3	P64127
P0A6X3	P0A6X3
P0A6X3	P0A1R0
P0A6X3	A1JIR5
P0A6Y5	P0A6Y5
P0A6Y5	P44877
P0A6Y5	Q8ZLJ4
P0A6Y5	Q9HTZ6
P0A6Y5	Q9JXK1
P0A6Y5	Q9KNK2
P0A731	P0A731
P0A731	Q83D86
P0A731	A1JMV3
P0A731	P45120
P0A731	P65350
P0A731	Q8F7N5
P0A731	Q9KLN2
P0A7F6	P0A7F6
P0A7F6	A1JJM7
P0A7F6	Q8ZRS4
P0A7F6	Q9I5R7
P0A7J3	P0A7J3
P0A7J3	P0A297
P0A7J3	P44350
P0A7J3	A1JIH8
P0A7J3	P66047
P0A7J3	Q5NID4
P0A7J3	Q7W0S1
P0A7J3	Q83ET2
P0A7J3	Q9HWC7
P0A7J3	Q9KV32
P0A7T7	P0A7T7
P0A7T7	A1JIT0
P0A7T7	O84808
P0A7T7	P0A0X7
P0A7T7	P66453
P0A7T7	P66457
P0A7T7	P66473
P0A7T7	P66474
P0A7T7	P66475
P0A7T7	Q2G111
P0A7T7	Q5NG00
P0A7T7	Q81JI4
P0A7T7	Q83D75
P0A7T7	Q8F5K4
P0A7T7	Q8ZK81
P0A7T7	Q9HUN0
P0A7T7	Q9KUZ0
P0A7T7	Q9Z6V4
P0A7W1	P0A7W1
P0A7W1	P0A7W4
P0A7W1	Q9HWF2
P0A7W1	A1JS11
P0A7W1	A5CCJ5
P0A7W1	O51448
P0A7W1	O83236
P0A7W1	P0A4C8
P0A7W1	P44374
P0A7W1	P59125
P0A7W1	P66570
P0A7W1	P66572
P0A7W1	P66577
P0A7W1	P66582
P0A7W1	P66583
P0A7W1	Q0SN12
P0A7W1	Q2FW23
P0A7W1	Q5NHV1
P0A7W1	Q7MTN0
P0A7W1	Q7VTB4
P0A7W1	Q81VR3
P0A7W1	Q83EQ9
P0A7W1	Q9KP01
P0A7W1	Q9XD19
P0A7W1	Q9Z7S3
P0A894	P0A894
P0A894	A0PPM2
P0A894	A1JRD2
P0A894	B2HP73
P0A894	P45071
P0A894	P67113
P0A894	P9WFQ3
P0A894	Q2G039
P0A894	Q741E4
P0A894	Q7W014
P0A894	Q81X59
P0A894	Q890Y7
P0A894	Q8DP10
P0A894	Q8DTM7
P0A894	Q8ZLR8
P0A894	Q9CCP0
P0A894	Q9HVV3
P0A894	Q9K080
P0A894	Q9KP47
P0A8H6	P0A8H6
P0A8H6	A1JHT5
P0A8H6	P0A2N8
P0A8Y1	P0A8Y1
P0A8Y1	Q8DPQ3
P0A8Y3	P0A8Y3
P0A903	P0A903
P0A935	P0A935
P0A935	Q9KPQ4
P0A962	P0A962
P0A968	P0A968
P0A968	P0A972
P0A968	P36995
P0A968	P0A978
P0A968	P0A986
P0A968	P0C0F1
P0A968	P0CL01
P0A968	P46449
P0A968	P62169
P0A968	P95459
P0A968	P9WP75
P0A968	Q2FYN2
P0A968	Q81K90
P0A968	Q81QK2
P0A968	Q81TW8
P0A968	Q9KL16
P0A968	Q9KN00
P0A968	Q9KSW4
P0A968	P0A352
P0A9C0	P0A9C0
P0A9C0	P43799
P0A9C0	P9WN81
P0A9C9	P0A9C9
P0A9C9	P21437
P0A9C9	P9WN21
P0A9C9	P44811
P0A9C9	Q9CBH9
P0A9D2	P0A9D2
